NO;DIMENSI;SUB DIMENSI;INDIKATOR;ITEM;SKOR Rata-Rata;SKOR 1;SKOR 2;SKOR 3;SKOR 4;SKOR 5;INTERVENSI KEGIATAN;PELAKSANA KEGIATAN PUSAT;PELAKSANA KEGIATAN PROVINSI;PELAKSANA KEGIATAN KABUPATEN;PELAKSANA KEGIATAN DESA;PELAKSANA KEGIATAN Lainnya
1;LAYANAN DASAR;SUB-DIMENSI PENDIDIKAN;AKSES TERHADAP PAUD/TK/Sederajat;Keberadaan PAUD/TK/Sederajat di Desa;;;;;;;;Kemendikbud, Kemendagri, Kementerian PUPR;Dinas PMD, Dinas Dikbud, Dinas PUPR;Dinas Dikbud, Dinas PMD, Dinas PUPR;Desa;Swasta
1;LAYANAN DASAR;SUB-DIMENSI PENDIDIKAN;AKSES TERHADAP PAUD/TK/Sederajat;Kemudahan Akses menuju PAUD/TK/Sederajat terdekat di Desa;;;;;;;;Kemendikbud, Kemendagri, Kementerian PUPR;Dinas PMD, Dinas Dikbud, Dinas PUPR;Dinas Dikbud, Dinas PMD, Dinas PUPR;Desa;Swasta
1;LAYANAN DASAR;SUB-DIMENSI PENDIDIKAN;AKSES TERHADAP PAUD/TK/Sederajat;Angka Partisipasi Murni (APM) anak usia 3 - 6 tahun yang bersekolah PAUD/TK/Sederajat di desa;;;;;;;;Kemendikbud, Kemendagri, Kementerian PUPR;Dinas PMD, Dinas Dikbud, Dinas PUPR;Dinas Dikbud, Dinas PMD, Dinas PUPR;Desa;Swasta
1;LAYANAN DASAR;SUB-DIMENSI PENDIDIKAN;AKSES TERHADAP SD/MI/Sederajat;Kemudahan Akses menuju SD/MI/Sederajat terdekat di Desa;;;;;;;;Kemendikbud, Kemendagri, Kementerian PUPR;Dinas PMD, Dinas Dikbud, Dinas PUPR;Dinas Dikbud, Dinas PMD, Dinas PUPR;Desa;Swasta
1;LAYANAN DASAR;SUB-DIMENSI PENDIDIKAN;AKSES TERHADAP SD/MI/Sederajat;Angka Partisipasi Murni (APM)  anak usia 7-12 tahun yang bersekolah SD/MI/Sederajat di desa;;;;;;;;Kemendikbud, Kemendagri, Kementerian PUPR;Dinas PMD, Dinas Dikbud, Dinas PUPR;Dinas Dikbud, Dinas PMD, Dinas PUPR;Desa;Swasta
1;LAYANAN DASAR;SUB-DIMENSI PENDIDIKAN;AKSES TERHADAP SMP/MTs/Sederajat;Kemudahan Akses menuju SMP/MTs/Sederajat terdekat di Desa;;;;;;;;Kemendikbud, Kemendagri, Kementerian PUPR;Dinas PMD, Dinas Dikbud, Dinas PUPR;Dinas PMD, Dinas PUPR;Desa;Swasta
1;LAYANAN DASAR;SUB-DIMENSI PENDIDIKAN;AKSES TERHADAP SMP/MTs/Sederajat;Angka Partisipasi Murni (APM)  anak usia 13-15 tahun yang bersekolah SMP/MTs/Sederajat di desa;;;;;;;;Kemendikbud, Kemendagri, Kementerian PUPR;Dinas PMD, Dinas Dikbud, Dinas PUPR;Dinas PMD, Dinas PUPR;Desa;Swasta
1;LAYANAN DASAR;SUB-DIMENSI PENDIDIKAN;AKSES TERHADAP SMA/SMK/MA/MAK/Sederajat;Kemudahan Akses menuju SMA/SMK/MA/MAK/Sederajat terdekat di Desa;;;;;;;;Kemendikbud, Kemendagri, Kementerian PUPR;Dinas PMD, Dinas Dikbud, Dinas PUPR;Dinas PMD, Dinas PUPR;Desa;Swasta
1;LAYANAN DASAR;SUB-DIMENSI PENDIDIKAN;AKSES TERHADAP SMA/SMK/MA/MAK/Sederajat;Angka Partisipasi Murni (APM)  anak usia 16-18 tahun yang bersekolah SMA/SMK/MA/MAK/Sederajat di desa;;;;;;;;Kemendikbud, Kemendagri, Kementerian PUPR;Dinas PMD, Dinas Dikbud, Dinas PUPR;Dinas PMD, Dinas PUPR;Desa;Swasta
1;LAYANAN DASAR;SUB-DIMENSI KESEHATAN;Layanan Sarana Kesehatan;Kemudahan akses menuju Sarana Kesehatan;;;;;;;;Kemenkes, Kemen PUPR;Dinas PUPR;Dinas Kesehatan, DPMD, Dinas PUPR;Desa;Swasta
1;LAYANAN DASAR;SUB-DIMENSI KESEHATAN;Fasilitas Puskesmas Pembantu (Pustu);Keberadaan Fasilitas Puskesmas Pembantu (Pustu) termasuk  Poskesdes/Polindes di Desa;;;;;;;;Kemenkes, Kemen PUPR;Dinas PUPR;Dinas Kesehatan, DPMD, Dinas PUPR;Desa;Swasta
1;LAYANAN DASAR;SUB-DIMENSI KESEHATAN;Fasilitas Puskesmas Pembantu (Pustu);Kemudahan akses menuju Fasilitas Puskesmas Pembantu (Pustu) termasuk Kesehatan Poskesdes/Polindes;;;;;;;;Kemenkes, Kemen PUPR;Dinas PUPR;Dinas Kesehatan, DPMD, Dinas PUPR;Desa;Swasta
1;LAYANAN DASAR;SUB-DIMENSI KESEHATAN;Aktivitas Posyandu;Ketersediaan Fasilitas Posyandu di Desa;;;;;;;;Kemenkes, Kemen PUPR;Dinas PUPR;Dinas Kesehatan, DPMD, Dinas PUPR;Desa;
1;LAYANAN DASAR;SUB-DIMENSI KESEHATAN;Aktivitas Posyandu;Keberadaan Aktivitas Posyandu;;;;;;;;Kemenkes, Kemen PUPR;Dinas PUPR;Dinas Kesehatan, DPMD, Dinas PUPR;Pemdes;Swasta
1;LAYANAN DASAR;SUB-DIMENSI KESEHATAN;Aktivitas Posyandu;Kemudahan akses menuju Fasilitas Posyandu;;;;;;;;Kemenkes, Kemen PUPR;Dinas PUPR;Dinas Kesehatan, DPMD, Dinas PUPR;Pemdes;Swasta
1;LAYANAN DASAR;SUB-DIMENSI KESEHATAN;Layanan Dokter;Ketersediaan layanan dokter di desa;;;;;;;;Kemenkes, Kemen PUPR;Dinas PUPR;Dinas Kesehatan, DPMD, Dinas PUPR;Pemdes;Swasta
1;LAYANAN DASAR;SUB-DIMENSI KESEHATAN;Layanan Dokter;Operasional ketersediaan layanan dokter di desa;;;;;;;;Kemenkes, Kemen PUPR;Dinas PUPR;Dinas Kesehatan, DPMD, Dinas PUPR;Pemdes;Swasta
1;LAYANAN DASAR;SUB-DIMENSI KESEHATAN;Layanan Dokter;Penyedia layanan dokter di desa;;;;;;;;Kemenkes, Kemen PUPR;Dinas PUPR;Dinas Kesehatan, DPMD, Dinas PUPR;Pemdes;Swasta
1;LAYANAN DASAR;SUB-DIMENSI KESEHATAN;Layanan Dokter;Keberadaan Penyedia Transportasi penunjang menuju layanan Dokter;;;;;;;;Kemenkes, Kemen PUPR;Dinas PUPR;Dinas Kesehatan, DPMD, Dinas PUPR;Pemdes;Swasta
1;LAYANAN DASAR;SUB-DIMENSI KESEHATAN;Layanan Bidan;Ketersediaan layanan Bidan di Desa;;;;;;;;Kemenkes, Kemen PUPR;Dinas PUPR;Dinas Kesehatan, DPMD, Dinas PUPR;Pemdes;Swasta
1;LAYANAN DASAR;SUB-DIMENSI KESEHATAN;Layanan Bidan;Operasional ketersediaan layanan Bidan di desa;;;;;;;;Kemenkes, Kemen PUPR;Dinas PUPR;Dinas Kesehatan, DPMD, Dinas PUPR;Pemdes;Swasta
